要素番号	頂点番号	xx	yy	xy	zz
197	2	-3.122097504085541e-02	1.009404897627551e+01	-9.149345654023848e-02	3.018848400370397e+00
197	3	-2.839231639330109e-02	1.008247643530201e+01	-6.205467312446247e-02	3.016225235672614e+00
198	0	-5.505403437377332e-02	1.011037746024630e+01	-5.363911806483847e-02	3.016597027761756e+00
198	1	-4.231117969909537e-02	1.008812950715681e+01	-2.869928994526902e-02	3.013745498237315e+00
198	2	-2.839231639330109e-02	1.008247643530201e+01	-6.205467312446247e-02	3.016225235672614e+00
198	3	-2.302155132419692e-02	1.006703057935648e+01	-3.817356855368607e-02	3.013202708409684e+00
199	0	-4.231117969909448e-02	1.008812950715680e+01	-2.869928994526848e-02	3.013745498237312e+00
199	1	-2.961875368742728e-02	1.006432798695964e+01	-1.110046667513223e-02	3.010412769981664e+00
199	2	-2.302155132421735e-02	1.006703057935643e+01	-3.817356855369036e-02	3.013202708409665e+00
199	3	-1.669095473379922e-02	1.004990472131015e+01	-2.046589823971858e-02	3.009964129972905e+00
200	0	-2.961875368742195e-02	1.006432798695965e+01	-1.110046667513062e-02	3.010412769981667e+00
200	1	-1.822793093882868e-02	1.004131539340107e+01	-5.528380798312865e-04	3.006926238738673e+00
200	2	-1.669095473379478e-02	1.004990472131015e+01	-2.046589823972073e-02	3.009964129972907e+00
200	3	-1.036228715744247e-02	1.003321368875992e+01	-8.809309329398472e-03	3.006855420480743e+00
201	0	-1.822793093882868e-02	1.004131539340107e+01	-5.528380798312865e-04	3.006926238738673e+00
201	1	-8.864034027288525e-03	1.002139970002282e+01	3.762071500817267e-03	3.003760699798660e+00
201	2	-1.036228715744247e-02	1.003321368875992e+01	-8.809309329398472e-03	3.006855420480743e+00
201	3	-5.010582118885942e-03	1.001855893121655e+01	-2.590777654192724e-03	3.004064504729298e+00
202	0	-8.864034027288525e-03	1.002139970002282e+01	3.762071500817267e-03	3.003760699798660e+00
202	1	-2.447413829233192e-03	1.000672833348583e+01	3.178872728710818e-03	3.001284275896980e+00
202	2	-5.010582118885942e-03	1.001855893121655e+01	-2.590777654192724e-03	3.004064504729298e+00
202	3	-1.342513946458013e-03	1.000739507253471e+01	-4.516446049193882e-04	3.001815767576475e+00
203	0	-2.447413829233192e-03	1.000672833348583e+01	3.178872728710818e-03	3.001284275896980e+00
203	1	2.854037981325774e-05	9.999856474574173e+00	-3.317913545466949e-05	2.999965504486195e+00
203	2	-1.342513946458013e-03	1.000739507253471e+01	-4.516446049193882e-04	3.001815767576475e+00
203	3	1.578538872859525e-05	1.000090269234300e+01	-2.618313675500627e-05	3.000275543319517e+00
204	0	2.089409858349924e-01	9.774052333395481e+00	4.469539950822670e-04	2.994897995769142e+00
204	1	1.999858547434163e-01	9.790886689426584e+00	-8.285106119468573e-02	2.997261763251000e+00
204	2	2.524478886358734e-01	9.854644772563995e+00	-8.376469914450712e-05	3.032127798359960e+00
204	3	2.445254077678305e-01	9.861667487289754e+00	-6.625377484638481e-02	3.031857868517275e+00
205	0	1.999858547434190e-01	9.790886689426596e+00	-8.285106119468787e-02	2.997261763251004e+00
205	1	1.716763650250845e-01	9.827811376793886e+00	-1.539406272667448e-01	2.999846322545691e+00
205	2	2.445254077678340e-01	9.861667487289763e+00	-6.625377484637514e-02	3.031857868517279e+00
205	3	2.227192848153408e-01	9.886136926381777e+00	-1.241677786397445e-01	3.032656863359135e+00
206	0	1.716763650250845e-01	9.827811376793886e+00	-1.539406272667443e-01	2.999846322545691e+00
206	1	1.325714760490140e-01	9.881603340074339e+00	-2.057093218777812e-01	3.004252444837006e+00
206	2	2.227192848153381e-01	9.886136926381777e+00	-1.241677786397456e-01	3.032656863359134e+00
206	3	1.900954361153442e-01	9.920614729729827e+00	-1.670966446041127e-01	3.033213049753551e+00
207	0	1.325714760489998e-01	9.881603340074312e+00	-2.057093218777764e-01	3.004252444836994e+00
207	1	9.036016627826715e-02	9.943336259235803e+00	-2.326788242212436e-01	3.010108927654221e+00
207	2	1.900954361153371e-01	9.920614729729813e+00	-1.670966446041137e-01	3.033213049753545e+00
207	3	1.517489190203136e-01	9.958459530068010e+00	-1.923793343336156e-01	3.033062534726497e+00
208	0	9.036016627827070e-02	9.943336259235805e+00	-2.326788242212517e-01	3.010108927654222e+00
208	1	4.946122713132262e-02	9.998659888248657e+00	-2.368777617908868e-01	3.014436334613994e+00
208	2	1.517489190203136e-01	9.958459530068010e+00	-1.923793343336150e-01	3.033062534726497e+00
208	3	1.135235128151448e-01	9.995947587004673e+00	-1.995968486492932e-01	3.032841329945945e+00
209	0	4.946122713132262e-02	9.998659888248657e+00	-2.368777617908868e-01	3.014436334613994e+00
209	1	1.649246002860139e-02	1.004485373620090e+01	-2.220197237730551e-01	3.018403858868850e+00
209	2	1.135235128151448e-01	9.995947587004673e+00	-1.995968486492932e-01	3.032841329945945e+00
209	3	7.852942482800085e-02	1.002653372043107e+01	-1.917185601478182e-01	3.031518943577720e+00
210	0	1.649246002860760e-02	1.004485373620091e+01	-2.220197237730588e-01	3.018403858868855e+00
210	1	-8.045723304718422e-03	1.007608752768985e+01	-1.948915911570091e-01	3.020412541315540e+00
210	2	7.852942482799641e-02	1.002653372043106e+01	-1.917185601478144e-01	3.031518943577716e+00
