要素番号	ガウス点番号	xx	yy	xy	zz
493	1	-1.020259321116250e-05	4.388370664325491e-06	6.174061491541184e-06	0.000000000000000e+00
493	2	-1.128153488477377e-05	6.600852270005794e-06	-4.383809991822951e-07	0.000000000000000e+00
493	3	-1.201740189788042e-05	8.164025859250788e-06	-4.933526356262088e-06	0.000000000000000e+00
493	4	-1.211604436895505e-05	3.470509252979347e-06	1.480036287722657e-05	0.000000000000000e+00
493	5	-1.268088656034062e-05	5.012135111195150e-06	8.928390215179345e-06	0.000000000000000e+00
493	6	-1.335497700777850e-05	6.891572333420689e-06	2.089206282606539e-06	0.000000000000000e+00
493	7	-1.381231985046571e-05	8.232102031959374e-06	-2.559645121683064e-06	0.000000000000000e+00
493	8	-1.585349157557164e-05	4.836485177322034e-06	1.793069327722998e-05	0.000000000000000e+00
493	9	-1.595805027201056e-05	5.989811554545010e-06	1.190513045302398e-05	0.000000000000000e+00
493	10	-1.609488273956633e-05	7.420945078050385e-06	4.884437470308368e-06	0.000000000000000e+00
493	11	-1.618437071166477e-05	8.462487054755964e-06	1.107873147740137e-07	0.000000000000000e+00
493	12	-1.872509645933195e-05	5.980337905380456e-06	1.978495424026978e-05	0.000000000000000e+00
493	13	-1.847272247115616e-05	6.833122116865109e-06	1.372393613442952e-05	0.000000000000000e+00
493	14	-1.819455582796848e-05	7.916126519926387e-06	6.655996632702421e-06	0.000000000000000e+00
493	15	-1.800114452618372e-05	8.724034415061736e-06	1.846934824784237e-06	0.000000000000000e+00
494	0	-1.237674056876201e-05	8.951685736503371e-06	-7.139245450010050e-06	0.000000000000000e+00
494	1	-1.301693502878528e-05	1.037323769550785e-05	-1.098765319615717e-05	0.000000000000000e+00
494	2	-1.378487388649335e-05	1.211614072128418e-05	-1.547454143883234e-05	0.000000000000000e+00
494	3	-1.431606694138349e-05	1.335922138422094e-05	-1.852643423694947e-05	0.000000000000000e+00
494	4	-1.403340621186013e-05	8.912268313398870e-06	-4.840879238580688e-06	0.000000000000000e+00
494	5	-1.443004701595433e-05	1.014293932948634e-05	-8.822867178429811e-06	0.000000000000000e+00
494	6	-1.491088857347914e-05	1.165549600461875e-05	-1.346587785391957e-05	0.000000000000000e+00
494	7	-1.524559760110256e-05	1.273602553450176e-05	-1.662083621939663e-05	0.000000000000000e+00
494	8	-1.622343303954816e-05	8.998298858675382e-06	-2.232003894702115e-06	0.000000000000000e+00
494	9	-1.629903621327340e-05	9.971475118920235e-06	-6.321776183342614e-06	0.000000000000000e+00
494	10	-1.639949759907289e-05	1.117222280094141e-05	-1.108999518314051e-05	0.000000000000000e+00
494	11	-1.647145594448598e-05	1.203318988859126e-05	-1.432854866162972e-05	0.000000000000000e+00
494	12	-1.790063692658258e-05	9.146450492074000e-06	-5.138521861271956e-07	0.000000000000000e+00
494	13	-1.773015383485717e-05	9.918597229746601e-06	-4.633356712554131e-06	0.000000000000000e+00
494	14	-1.753837006154143e-05	1.087991521284502e-05	-9.434105082044515e-06	0.000000000000000e+00
494	15	-1.740728604448225e-05	1.157643656458520e-05	-1.269463171401694e-05	0.000000000000000e+00
495	0	-1.457800330870472e-05	1.398769023439870e-05	-2.002367331079707e-05	0.000000000000000e+00
495	1	-1.504292774435074e-05	1.512066421225736e-05	-2.262546096183804e-05	0.000000000000000e+00
495	2	-1.559555692858821e-05	1.650354963754588e-05	-2.564305816913869e-05	0.000000000000000e+00
495	3	-1.597351824606515e-05	1.748207278505780e-05	-2.768988842231752e-05	0.000000000000000e+00
495	4	-1.541116756978949e-05	1.328302251828324e-05	-1.816636886633879e-05	0.000000000000000e+00
495	5	-1.570976308402202e-05	1.427806808588344e-05	-2.084720111252959e-05	0.000000000000000e+00
495	6	-1.607003909247262e-05	1.551401466277322e-05	-2.395086150912386e-05	0.000000000000000e+00
495	7	-1.631627630238730e-05	1.640760293537285e-05	-2.605537435904745e-05	0.000000000000000e+00
495	8	-1.650705743709684e-05	1.247086866284081e-05	-1.591424889855321e-05	0.000000000000000e+00
495	9	-1.658067985673689e-05	1.328469862389519e-05	-1.866488134771698e-05	0.000000000000000e+00
495	10	-1.668112588291750e-05	1.433312168863308e-05	-2.184791113277553e-05	0.000000000000000e+00
495	11	-1.675094305596935e-05	1.512061159692664e-05	-2.400305909803473e-05	0.000000000000000e+00
495	12	-1.734183793380280e-05	1.193380414374637e-05	-1.429184046482635e-05	0.000000000000000e+00
495	13	-1.723968035495022e-05	1.261249176573030e-05	-1.706845587165994e-05	0.000000000000000e+00
495	14	-1.713637802825672e-05	1.351341622434015e-05	-2.028741736039218e-05	0.000000000000000e+00
495	15	-1.706812893239775e-05	1.420820013878899e-05	-2.246490255019909e-05	0.000000000000000e+00
496	0	-1.615864192031476e-05	1.797457501845973e-05	-2.869437181460346e-05	0.000000000000000e+00
496	1	-1.649299434502566e-05	1.888323807421687e-05	-3.044312677973320e-05	0.000000000000000e+00
496	2	-1.690396008439450e-05	2.002666029100975e-05	-3.246487848696241e-05	0.000000000000000e+00
496	3	-1.719646739896487e-05	2.085182421312660e-05	-3.381885705004658e-05	0.000000000000000e+00
496	4	-1.643573979715328e-05	1.686392886905945e-05	-2.708961509936948e-05	0.000000000000000e+00
496	5	-1.665292290622065e-05	1.769652392928245e-05	-2.890213464520323e-05	0.000000000000000e+00
496	6	-1.692379703904539e-05	1.871754173996834e-05	-3.101616399928721e-05	0.000000000000000e+00
496	7	-1.711990387040583e-05	1.942956821578134e-05	-3.244034505182077e-05	0.000000000000000e+00
496	8	-1.678330365165617e-05	1.553170586398422e-05	-2.506078889966695e-05	0.000000000000000e+00
496	9	-1.684501057424897e-05	1.626417898972943e-05	-2.691974492132787e-05	0.000000000000000e+00
496	10	-1.692871783784683e-05	1.712096406681134e-05	-2.910395992714417e-05	0.000000000000000e+00
496	11	-1.699424375962369e-05	1.768489104056560e-05	-3.059204404116626e-05	0.000000000000000e+00
496	12	-1.703266509553202e-05	1.457571871287927e-05	-2.353063417642695e-05	0.000000000000000e+00
496	13	-1.697357970382891e-05	1.522231060724969e-05	-2.539644889489730e-05	0.000000000000000e+00
