e	gp_n	xx	yy	xy	zz
1	14	-2.882465209303185e-05	3.506473976862012e-05	5.937390531832313e-07	0.000000000000000e+00
1	15	-4.680393755730056e-05	4.684284415050961e-05	4.107746940473473e-06	0.000000000000000e+00
2	0	-6.150207282768012e-05	1.261952784757461e-05	2.055655147358810e-05	0.000000000000000e+00
2	1	-8.351683065041677e-05	2.022486275091951e-05	2.041750730718840e-05	0.000000000000000e+00
2	2	-8.638102023150968e-05	3.202451566855008e-05	1.505846786575417e-05	0.000000000000000e+00
2	3	-6.875676451743278e-05	4.007614343519487e-05	9.460101645754399e-06	0.000000000000000e+00
2	4	-6.050459911251625e-05	8.296680030597393e-06	5.554005672334992e-06	0.000000000000000e+00
2	5	-8.365810505066878e-05	1.923657062702650e-05	1.027567393597978e-05	0.000000000000000e+00
2	6	-8.736318558865498e-05	3.497791999514883e-05	1.355055078217124e-05	0.000000000000000e+00
2	7	-6.988917936733859e-05	4.478719533554869e-05	1.269104465579139e-05	0.000000000000000e+00
2	8	-5.953192190364920e-05	2.365772120089830e-05	2.008067950944500e-06	0.000000000000000e+00
2	9	-7.780034393840337e-05	3.368263869696066e-05	1.130846486450602e-05	0.000000000000000e+00
2	10	-7.928155512691854e-05	4.542587407261570e-05	1.999054087455844e-05	0.000000000000000e+00
2	11	-6.328367443114403e-05	5.157703679387644e-05	2.017861255593951e-05	0.000000000000000e+00
2	12	-5.769879960518896e-05	5.152743340653771e-05	8.480961733512173e-06	0.000000000000000e+00
2	13	-7.033859716137238e-05	5.681523744830993e-05	1.754586362714313e-05	0.000000000000000e+00
2	14	-6.940138332608514e-05	5.848808711684550e-05	2.555494533410459e-05	0.000000000000000e+00
2	15	-5.532493529562573e-05	5.727409943909599e-05	2.450107522843626e-05	0.000000000000000e+00
3	0	-5.327114797883727e-05	4.328433634093110e-05	6.717705136818979e-06	0.000000000000000e+00
3	1	-2.939229944836823e-05	4.694382892720595e-05	2.947742879126348e-06	0.000000000000000e+00
3	2	-1.182671245699859e-05	4.833106679718829e-05	3.424824765950101e-07	0.000000000000000e+00
3	3	-8.779359162508454e-06	4.793709741946154e-05	-3.242034803875766e-07	0.000000000000000e+00
3	4	-5.432306750126765e-05	4.820034146061225e-05	1.084946534592579e-05	0.000000000000000e+00
3	5	-3.025266107193945e-05	5.092558818637820e-05	7.456098329257460e-06	0.000000000000000e+00
3	6	-1.241149769153044e-05	4.979006346282857e-05	4.224505940204906e-06	0.000000000000000e+00
3	7	-9.133272605783599e-06	4.762590359030926e-05	3.112474107564384e-06	0.000000000000000e+00
3	8	-4.950108174271547e-05	5.329922048709372e-05	1.718594976350083e-05	0.000000000000000e+00
3	9	-2.832079324740242e-05	5.366619006500644e-05	1.134307250862452e-05	0.000000000000000e+00
3	10	-1.287437436310460e-05	5.077552161701614e-05	5.933037108510575e-06	0.000000000000000e+00
3	11	-1.037692339227789e-05	4.801744004357747e-05	4.750711413225713e-06	0.000000000000000e+00
3	12	-4.374694943542944e-05	5.619926192569422e-05	2.050221548035043e-05	0.000000000000000e+00
3	13	-2.611178550443730e-05	5.388548593379913e-05	1.293710611283807e-05	0.000000000000000e+00
3	14	-1.355051030064485e-05	5.082712890459099e-05	6.178679615727261e-06	0.000000000000000e+00
3	15	-1.193055730999079e-05	4.892881817443900e-05	5.016532263043292e-06	0.000000000000000e+00
4	0	-1.048396591778205e-05	4.755473281824816e-05	-3.475162272455499e-07	0.000000000000000e+00
4	1	-1.344907762468288e-05	4.683011796166103e-05	-5.200605611108799e-08	0.000000000000000e+00
4	2	-1.552238963665760e-05	4.599495813702190e-05	6.160291106093617e-07	0.000000000000000e+00
4	3	-1.573544770614810e-05	4.554176588463894e-05	1.019828697602748e-06	0.000000000000000e+00
4	4	-1.071255981627049e-05	4.670738164619528e-05	3.075407760011520e-06	0.000000000000000e+00
4	5	-1.352171883283453e-05	4.586340946907638e-05	3.029929642202100e-06	0.000000000000000e+00
4	6	-1.556416750708032e-05	4.586535681377377e-05	2.791290963480309e-06	0.000000000000000e+00
4	7	-1.588586800844092e-05	4.613321449716673e-05	2.473893063031306e-06	0.000000000000000e+00
4	8	-1.202709856759050e-05	4.696921007923203e-05	5.378418899653711e-06	0.000000000000000e+00
4	9	-1.483225004493716e-05	4.611569118579282e-05	6.140916302628072e-06	0.000000000000000e+00
4	10	-1.670606070217869e-05	4.634373495526766e-05	5.859182615530109e-06	0.000000000000000e+00
4	11	-1.677326435668352e-05	4.677172436865713e-05	4.821767549430888e-06	0.000000000000000e+00
4	12	-1.361314939022491e-05	4.821791676732455e-05	6.083014255732499e-06	0.000000000000000e+00
4	13	-1.633238148013427e-05	4.746912107996744e-05	7.554232899090447e-06	0.000000000000000e+00
4	14	-1.794446404795293e-05	4.720663977659087e-05	7.670127119748976e-06	0.000000000000000e+00
4	15	-1.769638539008720e-05	4.715904439479912e-05	6.441956749563639e-06	0.000000000000000e+00
5	0	-1.541694516895249e-05	4.539708223981147e-05	1.096183347413997e-06	0.000000000000000e+00
5	1	-1.500182784838186e-05	4.529875052728978e-05	9.131533322370046e-07	0.000000000000000e+00
5	2	-1.502329040444399e-05	4.536012391256230e-05	3.403870141831275e-07	0.000000000000000e+00
5	3	-1.547130757154373e-05	4.541667793340312e-05	-6.587738018263577e-08	0.000000000000000e+00
5	4	-1.566425719864288e-05	4.619604987832355e-05	2.263886084852693e-06	0.000000000000000e+00
